ward,total,win_num,anc,da,reg
10101001,1903,888,888,691,3197
10101002,2085,1076,894,1076,3256
10101003,1902,801,801,690,3268
10101004,1775,673,653,673,3110
10101005,1990,1380,435,1380,3122
10101006,2363,1252,876,1252,3660
10101007,2366,1116,1036,1116,3663
10101008,2000,977,977,876,3354
10102001,2155,1280,1280,813,3677
10102002,2292,1300,1300,872,3321
10102003,2477,1126,1126,729,4178
10102004,2262,905,692,905,3700
10102005,2569,990,990,851,3588
10102006,1283,709,481,709,2594
10103001,2139,1292,819,1292,3225
10103002,2256,1200,1200,938,3162
10103003,2157,1634,402,1634,3204
10103004,2233,1062,644,477,3634
10103005,1831,922,728,922,3347
10103006,1125,718,274,718,1552
10103007,3364,1953,1174,1953,5089
10104001,2522,1432,1432,610,4132
10104002,1951,902,902,850,3424
10104003,1661,959,598,959,3226
10104004,2421,1162,935,1162,3709
10104005,2001,1833,125,1833,2797
10104006,3565,3181,299,3181,4983
10104007,2686,1318,1237,1318,3639
10104008,2057,1783,157,1783,3400
10104009,2107,907,907,210,3608
10104010,2787,2144,344,2144,4155
10104011,2124,1325,716,1325,2889
10104012,2183,1232,1232,706,3472
10104013,1857,1189,387,1189,3739
10105001,1937,1234,490,1234,3206
10105002,2165,976,815,976,3626
10105003,1710,1052,498,1052,3061
10105004,1675,1167,307,1167,2937
10105005,2293,1729,323,1729,3393
10105006,2102,1414,507,1414,3468
10105007,2247,1237,790,1237,3706
10105008,2323,2056,184,2056,3691
10105009,2175,1915,1915,223,3723
10105010,2588,2236,242,2236,3906
10105011,2250,1711,426,1711,4011
10105012,1973,1177,581,1177,3521
10202001,1840,1419,1419,60,3122
10202002,1534,847,418,847,3095
10202003,1978,1265,369,1265,3716
10202004,2008,1192,554,1192,3947
10202005,2311,1528,518,1528,4040
10202006,2152,745,306,745,3855
10202007,2194,1128,744,1128,4025
10202008,1142,603,603,436,3163
10202009,1269,637,637,551,3079
10202010,1479,682,568,682,3248
10202011,2150,1018,851,1018,3860
10202012,1533,777,777,572,3058
10203001,1932,904,904,752,3517
10203002,2584,2463,51,2463,3433
10203003,1750,905,447,905,3057
10203004,3118,3016,36,3016,4244
10203005,1835,1138,1138,518,2622
10203006,2247,1996,1996,35,3434
10203007,2167,1536,273,1536,3325
10203008,2346,1854,1854,324,4258
10203009,2316,2138,2138,81,3344
10203010,1998,1496,270,1496,3241
10203011,2876,1633,942,1633,4249
10203012,2391,2232,2232,56,3443
10203013,2590,1386,965,1386,4179
10203014,2420,1057,1057,1014,3721
10203015,3147,3011,45,3011,4317
10203016,1867,1745,1745,44,3231
10203017,3421,2715,222,2715,5273
10203018,2054,1444,406,1444,3376
10203019,2847,2681,36,2681,3879
10203020,2106,1286,616,1286,3301
10203021,2854,1525,709,1525,4453
10203022,2673,1897,548,1897,4027
10203023,2751,1794,729,1794,3810
10203024,1962,1420,281,1420,3308
10203025,2190,1318,450,1318,3405
10203026,2846,1821,491,1821,4325
10203027,2553,1550,544,1550,3808
10203028,2043,1249,445,1249,3293
10203029,2233,1811,264,1811,3386
10203030,2230,984,351,984,3488
10203031,2715,1029,1029,942,4342
10204001,2770,1667,877,1667,4344
10204002,1994,1066,1066,557,3583
10204003,1948,953,708,953,3298
10204004,2821,1473,781,1473,3918
10204005,2057,1469,265,1469,3151
10204006,1888,1130,422,1130,3169
10204007,1947,1861,17,1861,2832
10204008,1846,1647,26,1647,3423
10204009,1789,1644,19,1644,3792
10204010,2004,1619,139,1619,3846
10204011,1717,1613,15,1613,2630
10204012,2023,1206,1206,112,3175
10204013,2351,1108,1108,678,4413
10204014,2655,1597,1597,251,4047
10204015,2574,1653,1653,233,4241
10204016,2061,1183,416,1183,3303
10204017,2760,2179,184,2179,3882
10204018,2388,1007,904,1007,3498
10204019,1936,1355,241,1355,3483
10204020,2390,1461,392,1461,3865
10204021,2799,2351,111,2351,3747
10204022,2875,2723,33,2723,3911
10205001,2425,783,532,783,3645
10205002,2307,1377,1377,593,3861
10205003,1848,858,858,772,2995
10205004,2146,1075,1075,800,3612
10205005,2428,1138,1138,1134,3613
10205006,2203,2081,52,2081,3234
10205007,2215,2125,28,2125,3004
10205008,2166,1144,1144,709,3476
10205009,2016,1232,419,1232,3393
10205010,2254,1241,409,1241,3692
10205011,1810,1120,336,1120,3271
10205012,1884,1478,264,1478,3365
10205013,2264,1436,565,1436,3833
10205014,1839,1098,402,1098,3000
10205015,2260,2110,62,2110,3315
10205016,1901,1515,1515,38,3087
10205017,2004,1729,1729,61,2999
10205018,2209,916,830,916,3569
10205019,1838,1130,486,1130,3626
10205020,2003,1294,482,1294,3426
10205021,2357,1155,1004,1155,3833
10206001,1855,1243,136,1243,2879
10206002,2867,1380,1380,1075,3990
10206003,1938,547,282,547,3208
10206004,1948,846,846,826,3169
10206005,1863,795,517,795,2886
10206006,1680,576,332,576,2984
10206007,2126,1449,213,1449,3585
10206008,2094,1474,365,1474,3439
10206009,1938,1086,468,1086,3277
10206010,1760,1473,1473,80,2745
10206011,1605,933,482,933,2386
10206012,1963,965,503,965,3727
10301001,2748,1201,877,1201,4038
10301002,1884,1009,529,1009,3290
10301003,2925,1178,1086,1178,4439
10301004,2122,1664,370,1664,3386
10301005,2117,1391,377,1391,3337
10301006,2138,1145,1145,578,3645
10301007,2698,1725,801,1725,4227
10301008,2151,1259,1259,674,3488
10301009,1650,906,553,906,3306
10301010,1554,911,533,911,3156
10301011,2003,1124,748,1124,3926
10301012,1968,1217,1217,621,3452
10301013,2781,1254,1186,1254,4402
10302001,3203,1715,1715,1254,4476
10302002,2384,1790,530,1790,3234
10302003,2428,2340,29,2340,3367
10302004,2303,1662,371,1662,3270
10302005,3116,2831,2831,36,4798
10302006,1626,1429,1429,37,2137
10302007,2248,2183,28,2183,3120
10302008,2528,1043,888,1043,3881
10302009,1988,1862,79,1862,2903
10302010,2820,1859,872,1859,3968
10302011,2442,1502,765,1502,3975
10302012,1959,1780,1780,19,2968
10302013,2489,2441,19,2441,3201
10303001,2246,1035,997,1035,3153
10303002,2533,1385,1385,870,3499
10303003,2317,1577,1577,459,3446
10303004,2317,2026,237,2026,3330
10303005,3211,1768,1319,1768,4204
10304001,2388,1328,803,1328,3393
10304002,1883,948,948,809,2592
10304003,2076,817,683,817,3313
10304004,1423,926,363,926,1969
10304005,2868,1693,1693,479,4642
10401001,2377,1396,719,176,3373
10401002,2552,800,783,730,3445
10401003,2037,866,586,336,2799
10401004,2341,930,493,930,3471
10402001,2719,1836,675,1836,3612
10402002,2547,1050,668,1050,3717
10402003,2231,1900,276,1900,3045
10402004,2772,1547,1547,1142,3801
10402005,2510,1336,1336,1139,3335
10402006,2428,1188,1188,635,3273
10402007,2309,1460,748,1460,3233
10402008,2524,1622,1622,272,3235
10403001,2080,1913,1913,52,3212
10403002,2313,1578,1578,590,4325
10403003,2430,1860,1860,419,4162
10403004,1692,1424,230,1424,2265
10403005,3263,2966,221,2966,4628
10403006,2685,2394,191,2394,3901
10403007,2355,1853,417,1853,3421
10403008,2405,1941,314,1941,3626
